NOMBRE,PRECIO,DISPONIBILIDAD,IMAGEN,SUBCATEGORIA,SKU
"Blu Tank Mega 4G,""C$1,690"",0,,BLU,"
Blu Tank Mini 2,C$790,2,,BLU,
Bocina Celebrat,C$560,1,,BOCINAS,
"Bocina JBL Boombox 3,""C$16,690"",1,https://lh3.googleusercontent.com/pw/AP1GczPBixAHWaOanygK-_Epexr_acJ_-C8T-NoPWFU5SZBoYjPjy11yhytJX-h4vWvq8wno1qsP-sFRI_XG4mi_mdwtlgttbwhfiUnELxInZnmvXCxHLRtHzTlObvCAfffYiyeS3O_FJQTXRy56b8YPME3_=w768-h768-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczPX1hgBlSx0wAgBd6qbhsokFSpk61Uosqvs9gTknFwRJAvLXjn3Npw0SwjhkdTkub2LlZ_mGTBkjisLX7JXcfZe9ZY_MRQPgBvyyFE95S1Ut8DagR0jfaNmAmAOqjyS2Sc4vyyBcpZCZCPsURLckJXR=w453-h453-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczNIFlaDCRuoF_AbCzQimLpAKJVZLR-YjTCCuOthTYF5kPaex62RhNqdgTgR4vctnMrW_a94lKgsmYhP8utcCUeEr8dp-ikHwqAr8pUeuLvDlz2IbGaOm_d5AcQ7-Cl0-LNJqGXdACPYLHuFg0r5c234=w453-h453-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczOtlQIELhkFcPKfu7f4-cL_1Yhcy_tx7dCQbl0UCMYP4qpq-zApGo4PAlJl2DiKavRnA-IOD_Tuc926Ftl1ogPA7IWoynCk4FGBGVV27LwXNbghqkcxykk1wpWoi0FGmzWks1bUc6l5FhB9gY25Ac8d=w453-h453-s-no-gm?authuser=0,BOCINAS,"
"Bocina JBL Charge 6,""C$6,350"",2,https://lh3.googleusercontent.com/pw/AP1GczOowtKH4fd_BCUEOpseOrcG0ydQyFG1ATZJhz4yhCIASXwQL4c81WO02SrixDkd3ZlcnMhOeefiEdWRQewdDCMZZfOH8Bvx1PkCp7fy_CiXB7AJUT64VSy3lu_vZNg-B04E-tT7bjVedqi4JaiSSmRw=w453-h453-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczO84QxFxP9Yyx0FsNokPBCfQ2z_BcE0amjpwviYwIGdCR8DVxqgWqsS0rJ1wQAxPVHd-0fzT8_Wt2s3y0e8NKdp4cTxUWZyMQQ9NNawDUOCJl-bmdumlqI8vnCRibnyND7enmgvLiWtQ8Bs-p0I3BUH=w453-h453-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczOP3ygOx0lB9Gp77IV9L9dviZppWWDPImNuolu-P5lHrJamYw1dkt7jRbTK5SptuDVq1ILd6PTTHyEFxQYH-AHctfDH_Ce0Y6VKqCUZjFj_T-4pacfs1q3BrEtBooYsrSSgBhDoivpe5Z080aG3OUEJ=w453-h453-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczM__zScOU5T2b7oj2xe5p8VyF-FbJnMbUlEnYv85P_rofTtrJEsRAg4_qHHVUi8pTCRE6KEbKOJjmUsHLN0n1ZZE6xQAK9VabqUH-ka_4aIVcJhILP0jxrheQEW6zMXboek1BjH3N5fYu2TF8OqTcJX=w453-h453-s-no-gm?authuser=0,BOCINAS,"
"Bocina JBL Clip 5,""C$2,200"",1,https://lh3.googleusercontent.com/pw/AP1GczPdoklgr5puH0HMwvMUwJQGGmSD6cAhe9abA-zCNyyVhkLNqo65cS4Z-2l0FWgJSsfby8DBXTFUYPq0QGZixFW0q0OhxTWo1l2sC2TUELq6kHjLVviS5ERD1WB0DiMtmYNf3o40n0tCJa6F5D4WDFBk=w537-h537-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczO_MrI0OvfM3TX367HIl2rnV0KQbU0zOBLkjFhOfVqMXhXwWqZdoXDExVq_Uh86-omRJLjiLpu3rimhBJaeITnoSJ3FN12oXlNOttpGTS6x9t8p0nRMN-k-90jS-Bj6pJd9OP5LRCcOKtiqvkl2erlB=w537-h537-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczP-rGgQM9ZxBPIoY3OqvI6bQx1HlLFLt1m_ft18CeR6btORBbSQ6J9F7mOkcpOf4RtsaraVUt3tbtIanXMoKM4DJNTPk0GUFR6g-VpItoPmWgJZ7ovaexOlyEa76UZOzU8ikCNPN2083Q61gfn3rzWs=w537-h537-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczOWwiWiZpqZV5HTeQQ6TBR880i0mBLYTrtrTdfNYs2BFzw1fH2_nCfUCylvERR22k-6NveIGNZZ0uID6viegucTVfLX-NjnoRYf9RMUyi9bpcXp4SRu3UiVxZimnikPNsOTZyX6eHxlkegqQZaRjCAs=w537-h537-s-no-gm?authuser=0,BOCINAS,"
"Bocina JBL Flip 7,""C$4,890"",2,https://lh3.googleusercontent.com/pw/AP1GczNrPqANeC0zTdNd6Mq4_SjO6VLtxfmsswgjFD-t98n-336qEpr9xBK9G6HdVTjIQ5Zkg26zJUKhXgTSlCx9uEFQ8KM-NlJQMs-m6hj15OH3p2xqaAfCYNqoa4AHBuYIAoXjRXj-ZLeBBpGwkayrJ7h3=w537-h537-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczN9zjYhWRquSszu_L8QRXC3Eewi_COpb2TY2NAUq2BMTpv-rcvFOfHtq6q1AtE1OfHFORvdR1aX1GfVKQt1x89J9rVxNn_z4FXZ0n-YLsqA0VfMC4R16nJT27NuIdYHzkQIBsrYSoywhv5nIWZLZnEC=w537-h537-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczMlnoglUdvMMQYbeLw4Ge2F1hSfBQVGHxzS53XJCBV5hSOQAggMZA_aebG0vvUdPeRH_UhZbxXL8JcLoERgp75aKcbVjeRZN1Q4qEc_FiKIXA96MPVmgibHa5mHQlrH4wpI5ffIaQQrWJn-zNned9re=w537-h537-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczNB4TTrvfSZhnPuCFckwWa0eJX5cwGoSVUbQul7LN-RQUoExI8acPShycb05OhHXVrTudj2V3J5OJQcyE5aM1qpu1QjuDZJ3NxV0Y9Yl8nkJQ6gJ6AwNJvN801ULA0yfGToXqujoH9yq3K-iLeBMNmY=w537-h537-s-no-gm?authuser=0,BOCINAS,"
"Bocina JBL Go 3,""C$1,830"",1,https://lh3.googleusercontent.com/pw/AP1GczNNU4RvFSlLqiRRbWgJhgK8EDBIkSktJHioT3Tah-vBrswYyxMSuoDDl9dP3sUaH6lPWt0y8bbPIKPZcqCT6VLbRGgi_3odlgZwqfgwy7_4nZ4_TZqGfGQJ1AfxSe-IpCzvN8zCMe9QWlVhIdMProF1=w993-h882-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczM0QURowC3R-I3mCLUBNZnOt2N_eV44WdBg9RYJoU05dlkRAlypGod1gP6O49VC1V5nwdcsOvfYfk2jtLJYLb-3sCdccA5Sej0ZPsV8GUOaT8_e2UuZb6KwhAGsbSO02KwlOjDKw9bIY-BQrmidIwqv=w1166-h882-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczPIdN4dOkO7z5KhV78Rwsr2ECm17t56OOwC6vdSWoTw1eyWhR7XGzRH7ecCqAI7mXKAa-ZsyxEfxmsSOm2lb_nh0bmLuGd8QTwfGwlTrNE8Uv8vz0Zs2HIvqRSxezJWAyrbSSKIo2KWXgg7S7l2njuW=w915-h882-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczPcLn2JcWuVMHrysjwg1bJh6XCMm1ZDdTx_fDQI2Xk7O9EaSYYu4_v1nAgjTdKaizfzaR6tJauZejf3ulUCoGRlWRc7-yo5mb2z9uqg0cAbgpnOMYNeWDoJIf3D_LYuOHGpMmxWh-hRfaiA2Rbh0MiU=w662-h882-s-no-gm?authuser=0,BOCINAS,"
"Bocina JBL Go 4,""C$1,890"",1,https://lh3.googleusercontent.com/pw/AP1GczPi4yX1C1V1v2xiHCYChUYWVPPqqhodhABqIMIAwDfCORbdTubMk3jGExFwuh8gOsYTrx0xtArDfKrap2q_cLwE7WvCJ8gn9dDpknwas5WdbArazHzvZdySQrLc6Hh80vQIj_qsLzeFhlpfcujFzBdL=w537-h537-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczOP1SIACYB6LGwJTcKnmqd1PNX1B4bPfXhJEEaRtOfMHRUbCa3AD1pT4ueGFfB19d18jGMUOdiIXt83d8-gZye-hOGeS64aCR9qH_uN2-0vAntt_FwmMVAzHzo4QugU-wqutd-dCIyEO8MbEWhBQFmX=w537-h537-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczNNM3NqmAzixegBA_JDBnoxsW_q8LdpPsATajwE_aS6MVYKYEz1SNgGEIAf7KUctkhO27pYv5diTytSalrfNcK0KqnwHEceRzPHonK7UFLKaJY_S-yGJfy6m9q6tFI41iNwK9etOm5N-ShI6Ps7dJgN=w537-h537-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczPitnSjNt4M7qJu4ZsrSiGY9NhllgiUDmY9_A29p5oYtwDx4j2ZnKeCbuzapF9bxHxtp0n_Trk_-7MGfO6l7p0OruEu39Ohg9Wg4G1-FrSKuwqINXNyQKkjD23FQax_NBAJGKLujEZv5iPZHWofIQ4n=w537-h537-s-no-gm?authuser=0,BOCINAS,"
"Bocina JBL Grip,""C$3,700"",2,https://lh3.googleusercontent.com/pw/AP1GczOiQxONInqIR1uxlDaLD1bupcbACV9kaHWBuUyS7VvlkxrMyMyMisQlrt4IDA__IXQV_ESEjYCvlmuP0fEqcDOCa_QlijiKF6_VQT4Tt8_KdNZr0OGUvFbCCF_n43QDF4gIGuMnFmvWlakt2fdXDkjx=w550-h550-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczPGHksKsVAev1iwDnIlhzLNbOhfAF9j82Un9dcc8mI8TCBuLVobOdsQXK0_T3ZPAcjtebs9laxJ4mF6LumIn_InuFuNpGQAKZQLghy9TS56TypdLvy-0nytZdn0Wt61ASyvF2I_4-MFsuJkpCVrYNnQ=w453-h453-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczMEEmp6NfLig56C3XdJX5NzCDwWO8EqhSBn6IRxENcqKd-LfFxg2gW66V1rjm7O21YqR0bkn4Ek8PYwkH69eaLzwJP85Vd9dd7mrFyh9ox7hu5995MNmdoy3Q2oUvvs1u20D6zy1F8QFb3E02ikWliQ=w453-h453-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczOSs1n6YSC_rY1CXjwmaVB5JTWmo3ox_CW0C0pgqk1iFvWpiW21tamFHTU4bEc3DFYiTe1RbbqYHPyMX6sU6BtaBBg86CpUblvTxPz6K6E6o_xGvi0S5qmiBPx1xw-GKY-ca02q5VXOc3IdZ6fhkfXa=w453-h453-s-no-gm?authuser=0,BOCINAS,"
